Date,spy_close,hv_20d,yz_vol,ewma_vol,garch_vol,har_vol,vol_forecast,vix,iv_proxy,vrp_spread,vol_of_vol,signal,pos_size,pnl,theta_pnl,gamma_pnl
2019-05-02,262.30511474609375,0.06133875135297647,0.07604156304910858,0.08408962173442325,0.10772375196391595,0.09918511643047537,0.09699949670960485,0.14420000076293946,0.14420000076293946,0.047200504053334605,,-1,1.0,,,
2019-05-03,264.8725280761719,0.06884255437016719,0.0808494682872917,0.08196002175937131,0.10582828168865022,0.10988400846387415,0.09922410397063189,0.12869999885559083,0.12869999885559083,0.029475894884958942,,-1,0.6716262427100989,-0.00031295246522698706,0.0007057951847868922,-0.0010187476500138793
2019-05-06,263.7824401855469,0.06987396525789857,0.10467094321343551,0.08802774730584476,0.10533288367083726,0.10393574900296114,0.09909879332654771,0.154399995803833,0.154399995803833,0.0553012024772853,,-1,1.0,0.00046644938063402,0.0005686893424510851,-0.00010223996181706511
2019-05-07,259.37738037109375,0.09365914486327886,0.1159256333985855,0.08683953090103276,0.10793000255840114,0.11964529777049807,0.10480494374331065,0.1931999969482422,0.1931999969482422,0.08839505320493155,,-1,1.0,-0.0009691431399961454,0.0010595153749761517,-0.002028658514972297
2019-05-08,259.0169982910156,0.09194076865736425,0.11704009639822387,0.10666189668443428,0.169933863198293,0.12627108163290054,0.13428894717187595,0.19399999618530273,0.19399999618530273,0.059711049013426776,,-1,1.0,0.0010501316162026598,0.0010639025980870398,-1.377098188437993e-05
2019-05-09,258.23333740234375,0.09165246471181386,0.1242974365515671,0.10355377272713205,0.15886904189514214,0.11632841872666753,0.1262504111163139,0.19100000381469726,0.19100000381469726,0.06474959269838335,,-1,1.0,0.0009810177079419733,0.0010474505375711218,-6.643282962914863e-05
2019-05-10,259.530517578125,0.093559483801653,0.1357048062255601,0.10108810845258363,0.1509336331086911,0.11276699331946044,0.12159624496024504,0.16040000915527344,0.16040000915527344,0.0388037641950284,,-1,0.8841674341366443,0.0006633198290780512,0.0008796391228300894,-0.00021631929375203826
2019-05-13,253.0084686279297,0.12664178770075601,0.14975614254569103,0.09992646688221674,0.14190302347324477,0.1516609744848658,0.1311634882801091,0.20549999237060546,0.20549999237060546,0.07433650409049636,,-1,1.0,-0.002855200796033314,0.0009964292621417762,-0.00385163005817509
2019-05-14,255.29660034179688,0.13214735059440624,0.1532277050625867,0.13849357743350418,0.24123563086848462,0.10964876608671342,0.16312599146290074,0.18059999465942383,0.18059999465942383,0.01747400319652309,,0,0.0,0.0003701733865837572,0.0009904165325299267,-0.0006202431459461696
2019-05-15,256.79205322265625,0.134348358225337,0.1544913405040637,0.13876307900784066,0.22310629550008323,0.1703644990921168,0.17741129120001353,0.16440000534057617,0.16440000534057617,-0.013011285859437366,,0,0.0,-0.0,-0.0,0.0
2019-05-16,259.1701965332031,0.13885635867562915,0.15510636372446351,0.13643924071552657,0.20610886838828946,0.17705542359385215,0.17320117756588937,0.15289999961853026,0.15289999961853026,-0.02030117794735911,,1,0.4006104877584212,-0.0,-0.0,0.0
2019-05-17,257.49468994140625,0.14025798664024014,0.15871491869180154,0.1370532497509385,0.1919301140499499,0.16279345182210486,0.16392560520766442,0.15960000038146974,0.15960000038146974,-0.004325604826194679,,0,0.0,-0.00020471079624123474,-0.0003506350695061356,0.0001459242732649009
2019-05-20,255.79209899902344,0.14164953870544206,0.16091246099940526,0.13525022987183863,0.18587682243419804,0.1589373632095561,0.1600214718385309,0.16309999465942382,0.16309999465942382,0.0030785228208929094,,0,0.0,-0.0,-0.0,0.0
2019-05-21,258.09820556640625,0.1416719253782439,0.16357836906318715,0.13364324601094815,0.18107688706131483,0.0758311492249249,0.1301837607657293,0.14949999809265135,0.14949999809265135,0.01931623732692206,,0,0.0,-0.0,-0.0,0.0
2019-05-22,257.3055114746094,0.1417940853513451,0.16362626758657017,0.1341896163653561,0.16972011566440323,0.05697536089653116,0.12029503097543015,0.1475,0.1475,0.02720496902456984,,-1,0.6198818119120157,-0.0,-0.0,0.0
2019-05-23,254.1615753173828,0.14717639074457486,0.16533813985214663,0.13065031716997677,0.16044782927914028,0.07992713243882973,0.12367509296264892,0.16920000076293945,0.16920000076293945,0.04552490780029053,,-1,1.0,-0.00019004293391686498,0.0005751874512122475,-0.0007652303851291125
