Date,HV-20,YZ-20,EWMA,GJR-GARCH,HAR-RV,Ensemble,VIX
2019-05-02,0.06133960124206227,0.07604137910874471,0.0840894712457206,0.10771855985854523,0.09918116337056554,0.09699639815827711,0.1442
2019-05-03,0.06884339481598166,0.08084931054603231,0.0819596914706822,0.10582008749553089,0.10988187386169704,0.0992205509426367,0.12869999999999998
2019-05-06,0.06987486930043993,0.10467065178015879,0.0880274582352807,0.10532779243980457,0.10393142474637371,0.09909555847381965,0.15439999999999998
2019-05-07,0.09366010617230613,0.11592554060361951,0.08683917238488348,0.10791882577839612,0.1196428694639074,0.10480028920906233,0.1932
2019-05-08,0.0919414838094876,0.11703986083360164,0.10666189849852002,0.16991705096658322,0.12626695628334608,0.13428196858281644,0.19399999999999998
2019-05-09,0.09165290006413558,0.12429702823204981,0.10355377448355474,0.15885545042131147,0.11632669239704338,0.1262453057673032,0.191
2019-05-10,0.09355966692713157,0.13570446388142937,0.10108805658410863,0.15092016986638132,0.11276475915019779,0.12159099520022924,0.1604
2019-05-13,0.1266411430290501,0.14975538103303765,0.09992614966337399,0.14189523666398962,0.1516606830729042,0.13116068980008927,0.20550000000000002
2019-05-14,0.13214679812974547,0.15322701434565894,0.1384923736626104,0.24122371911543478,0.10964397062986331,0.16312002113596946,0.18059999999999998
2019-05-15,0.1343475155275338,0.1544907443210584,0.1387620072343223,0.22310106715962996,0.17036564037236213,0.17740957158877146,0.16440000000000002
2019-05-16,0.1388556962204727,0.15510575339415264,0.13643794620046015,0.20610962392611695,0.1770578306087161,0.17320180024509774,0.15289999999999998
2019-05-17,0.14025743626902387,0.15871451608950368,0.13705216032999848,0.1919353172493056,0.16279448283461842,0.16392732013797415,0.15960000000000002
2019-05-20,0.14164896724488032,0.16091205113094809,0.13524919272017635,0.1858780611679202,0.15893943626361137,0.1600222300505693,0.1631
2019-05-21,0.14167163134164062,0.16357819276894098,0.1336422151842475,0.18107412600500666,0.07583264081121598,0.1301829940001567,0.1495
2019-05-22,0.14179384591547667,0.16362613959388095,0.1341889508166822,0.1697217613075645,0.05697472776214202,0.12029514662879623,0.1475
2019-05-23,0.14717592164048043,0.1653378635369815,0.13064980101853413,0.16044875467367845,0.07993021396673862,0.12367625655298373,0.16920000000000002
